flow,lighthouse
0.782,0.7803888320922852
0.785,0.7812926173210144
0.785,0.7820519208908081
0.785,0.7825171947479248
0.785,0.7834702134132385
0.79,0.7849884629249573
0.79,0.7855975031852722
0.79,0.7863010168075562
0.79,0.7870997786521912
0.791,0.7882811427116394
0.791,0.7889787554740906
0.791,0.7889986038208008
0.791,0.7899230718612671
0.799,0.7915419340133667
0.799,0.7922978401184082
0.799,0.792569100856781
0.799,0.7933661937713623
0.799,0.7940962910652161
0.799,0.7955926656723022
0.799,0.7963579893112183
0.799,0.7971121072769165
0.799,0.7971843481063843
0.801,0.7984473705291748
0.801,0.7990182042121887
0.801,0.799761176109314
0.801,0.8004868030548096
0.808,0.802315354347229
0.808,0.8031020164489746
0.808,0.8038860559463501
0.808,0.8037006855010986
0.808,0.8049529790878296
0.808,0.8056914806365967
0.808,0.8064017295837402
0.808,0.8071401715278625
0.814,0.808786153793335
0.814,0.8087476491928101
0.814,0.8094565868377686
0.814,0.8097878098487854
0.814,0.8107318878173828
0.82,0.8127291202545166
0.82,0.8131613731384277
0.82,0.8138632774353027
0.82,0.8145636320114136
0.821,0.8153804540634155
0.821,0.8159807324409485
0.821,0.8162532448768616
0.821,0.8169174790382385
0.826,0.8187791109085083
0.826,0.8190239071846008
0.826,0.8197246193885803
0.826,0.8204204440116882
0.829,0.8222989439964294
0.829,0.8230624198913574
0.829,0.8238933682441711
0.829,0.8246463537216187
0.832,0.8269426822662354
0.832,0.8278287053108215
0.832,0.828712522983551
0.832,0.8287546634674072
0.832,0.8277221918106079
0.835,0.8289344310760498
0.835,0.8290003538131714
0.835,0.8296521306037903
0.835,0.8303020596504211
0.832,0.8311379551887512
0.832,0.8320793509483337
0.832,0.8325859308242798
0.832,0.8332107663154602
0.841,0.8351632952690125
0.841,0.8358514904975891
0.841,0.8365325927734375
0.841,0.8366385698318481
0.843,0.8381847143173218
0.843,0.8388687968254089
0.843,0.839540958404541
0.843,0.8397243022918701
0.843,0.840305507183075
0.845,0.8416522145271301
0.845,0.8423095941543579
0.845,0.8429619669914246
0.845,0.8436213135719299
0.85,0.8452795743942261
0.85,0.8458110690116882
0.85,0.8453702330589294
0.85,0.8460137844085693
0.854,0.8475232124328613
0.854,0.8481631875038147
0.854,0.8484148979187012
0.854,0.8487606644630432
0.858,0.8507329225540161
0.858,0.8509926795959473
0.858,0.8516528010368347
0.858,0.8522143959999084
0.858,0.8530569672584534
0.858,0.8537123799324036
0.858,0.8540169596672058
0.858,0.8546338677406311
0.862,0.8551262021064758
0.862,0.8568666577339172
0.862,0.8572576642036438
0.862,0.8579084277153015
0.862,0.8585482835769653
0.866,0.8592416048049927
0.866,0.859495997428894
0.866,0.8601385354995728
0.866,0.8607771396636963
0.869,0.862295925617218
0.869,0.8616964221000671
0.869,0.8622719645500183
0.869,0.8628425598144531
0.872,0.8650220632553101
0.872,0.8651167750358582
0.872,0.8657266497612
0.872,0.8660072088241577
0.875,0.8678902983665466
0.875,0.8680267333984375
0.875,0.8686450123786926
0.875,0.8688524961471558
0.88,0.8694071769714355
0.88,0.8711859583854675
0.88,0.8718004822731018
0.88,0.8719809651374817
0.88,0.8725442290306091
0.878,0.8736310005187988
0.878,0.874220609664917
0.878,0.8748027682304382
0.878,0.8753886222839355
0.879,0.8761717677116394
0.879,0.8767448663711548
0.879,0.876919150352478
0.879,0.8774337768554688
0.886,0.8796573877334595
0.886,0.8802452087402344
0.886,0.8803523778915405
0.886,0.8808760046958923
0.887,0.8826742172241211
0.887,0.8832924365997314
0.887,0.8838485479354858
0.887,0.8844140768051147
0.887,0.8849503993988037
0.887,0.8861095309257507
0.887,0.8866496682167053
0.887,0.8871999979019165
0.887,0.8877317309379578
0.891,0.88936847448349
0.891,0.8899284601211548
0.891,0.8904812932014465
0.891,0.8910090923309326
0.89,0.8911570310592651
0.89,0.8916521668434143
0.89,0.8851341009140015
0.89,0.8853210806846619
0.892,0.8863596320152283
0.892,0.8865070939064026
0.892,0.8865858316421509
0.892,0.8866905570030212
